fire_id,fire_date,fire_latitude,fire_longitude,fire_frp,confidence,station_id,station_name,station_distance_km,fire_month,fire_year,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
13302,2017-09-02,41.4264,-123.445,8.3,81,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",193.56935622938863,9,2017,83.64333333333335,113.0,101.69333333333334,0.0,30,5.223333333333333,15.0,55.60333333333333,836.4333333333334
13303,2017-09-04,41.4265,-123.4328,18.7,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",192.6557854782722,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13304,2017-08-23,41.4265,-123.0651,114.7,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",167.6550420114827,8,2017,83.77,108.0,100.9,0.0,30,5.123333333333333,15.0,57.89999999999999,837.6999999999999
13305,2017-08-28,41.4265,-123.0284,16.8,73,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",165.50524467192602,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
13306,2017-08-24,41.4266,-123.1303,44.6,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",171.65558162057602,8,2017,83.67333333333333,108.0,100.83333333333334,0.0,30,5.073333333333333,15.0,58.21999999999999,836.7333333333332
13307,2017-09-03,41.4267,-123.4486,53.1,74,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",193.86661514809091,9,2017,83.63000000000001,114.1,101.89666666666668,0.0,30,5.206666666666666,15.0,54.98,836.3000000000001
13308,2017-07-07,41.4267,-123.155,30.7,76,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",173.23160417416338,7,2017,81.39,113.0,97.90333333333334,0.13,28,7.416666666666667,21.0,52.11333333333332,353.8695652173913
13309,2017-08-23,41.4267,-123.1263,45.1,93,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",171.41376525721617,8,2017,83.77,108.0,100.9,0.0,30,5.123333333333333,15.0,57.89999999999999,837.6999999999999
13310,2017-09-02,41.4268,-123.2498,47.5,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",179.51609666568606,9,2017,83.64333333333335,113.0,101.69333333333334,0.0,30,5.223333333333333,15.0,55.60333333333333,836.4333333333334
13311,2017-07-07,41.4268,-123.1677,9.1,73,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",174.05758941376277,7,2017,81.39,113.0,97.90333333333334,0.13,28,7.416666666666667,21.0,52.11333333333332,353.8695652173913
13312,2017-09-05,41.4269,-123.4489,27.4,86,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",193.90558121388892,9,2017,83.77333333333333,114.1,102.4,0.0,30,5.1,15.0,54.87333333333333,837.7333333333332
13313,2017-08-30,41.4269,-123.4029,20.0,80,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",190.45175880011269,8,2017,83.75333333333333,111.0,101.59333333333333,0.0,30,5.073333333333334,15.0,57.15333333333333,837.5333333333333
13314,2017-09-06,41.4269,-123.1889,24.5,81,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",175.4469797844816,9,2017,83.82,114.1,102.5,0.0,30,5.113333333333333,15.0,54.913333333333334,838.1999999999999
13315,2017-08-25,41.4269,-123.0611,13.6,74,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",167.4547833566546,8,2017,83.70666666666668,108.0,100.9,0.0,30,5.029999999999999,15.0,58.49333333333333,837.0666666666667
