latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime
38.7945,-120.5148,2019-01-31,Terra,MODIS,20.2,0,285.8,60,2019,1,2019-01-31
38.7956,-122.8025,2019-10-25,Terra,MODIS,146.3,0,287.3,100,2019,10,2019-10-25
38.7956,-122.7931,2019-10-25,Aqua,MODIS,134.5,0,303.6,93,2019,10,2019-10-25
38.7956,-122.7565,2019-10-26,Aqua,MODIS,14.9,0,288.9,80,2019,10,2019-10-26
38.7962,-122.7949,2019-10-24,Aqua,MODIS,200.2,0,287.7,100,2019,10,2019-10-24
38.7962,-121.9796,2019-11-06,Aqua,MODIS,9.7,0,302.3,75,2019,11,2019-11-06
38.7966,-122.7715,2019-10-26,Aqua,MODIS,18.0,0,303.1,55,2019,10,2019-10-26
38.7966,-121.8911,2019-09-09,Aqua,MODIS,33.3,0,301.2,58,2019,9,2019-09-09
38.7967,-122.7791,2019-10-24,Aqua,MODIS,37.1,0,287.1,81,2019,10,2019-10-24
38.7969,-122.805,2019-10-25,Aqua,MODIS,30.3,0,292.0,83,2019,10,2019-10-25
38.7973,-120.6026,2019-05-07,Terra,MODIS,27.8,0,288.6,59,2019,5,2019-05-07
38.7979,-122.7692,2019-10-26,Aqua,MODIS,26.6,0,289.5,100,2019,10,2019-10-26
38.798,-121.8961,2019-09-09,Aqua,MODIS,40.9,0,301.2,58,2019,9,2019-09-09
38.7992,-121.9861,2019-11-08,Aqua,MODIS,10.3,0,302.3,71,2019,11,2019-11-08
38.7998,-122.7766,2019-10-26,Terra,MODIS,42.1,0,293.8,100,2019,10,2019-10-26
38.7999,-122.0132,2019-11-18,Aqua,MODIS,9.5,0,292.7,63,2019,11,2019-11-18
38.8014,-122.7652,2019-10-26,Terra,MODIS,7.7,0,290.1,64,2019,10,2019-10-26
38.8018,-121.8956,2019-09-09,Terra,MODIS,125.9,0,303.4,100,2019,9,2019-09-09
38.802,-122.8243,2019-10-26,Terra,MODIS,14.1,0,289.8,92,2019,10,2019-10-26
38.8023,-120.5976,2019-05-07,Terra,MODIS,57.2,0,290.0,81,2019,5,2019-05-07
38.8024,-122.8224,2019-10-25,Aqua,MODIS,73.4,0,305.9,85,2019,10,2019-10-25
38.8034,-121.9077,2019-09-09,Terra,MODIS,16.2,0,303.5,80,2019,9,2019-09-09
38.8052,-120.611,2019-05-07,Aqua,MODIS,15.5,0,293.8,68,2019,5,2019-05-07
38.806,-122.8218,2019-10-25,Terra,MODIS,203.6,0,290.6,100,2019,10,2019-10-25
38.8063,-120.1306,2019-01-31,Aqua,MODIS,11.3,0,281.6,60,2019,1,2019-01-31
38.8067,-120.6185,2019-05-07,Terra,MODIS,30.8,0,290.5,70,2019,5,2019-05-07
38.807,-122.79,2019-10-26,Terra,MODIS,16.2,0,291.4,97,2019,10,2019-10-26
38.807,-122.7769,2019-10-25,Aqua,MODIS,21.5,0,290.1,68,2019,10,2019-10-25
38.8075,-121.3193,2019-11-25,Aqua,MODIS,25.0,0,289.2,67,2019,11,2019-11-25
38.8076,-120.6186,2019-05-08,Terra,MODIS,18.9,0,296.6,53,2019,5,2019-05-08
38.8077,-122.8156,2019-10-25,Terra,MODIS,223.1,0,290.8,100,2019,10,2019-10-25
38.8077,-122.7673,2019-10-26,Aqua,MODIS,16.9,0,290.3,85,2019,10,2019-10-26
38.8081,-120.6019,2019-01-31,Aqua,MODIS,68.2,0,289.3,97,2019,1,2019-01-31
38.8083,-122.7952,2019-10-25,Aqua,MODIS,470.0,0,304.3,100,2019,10,2019-10-25
38.8087,-122.7787,2019-10-26,Terra,MODIS,41.0,0,292.4,100,2019,10,2019-10-26
38.809,-122.8007,2019-10-25,Aqua,MODIS,29.7,0,290.3,83,2019,10,2019-10-25
38.8101,-122.7807,2019-10-26,Aqua,MODIS,9.3,0,289.5,62,2019,10,2019-10-26
