event_id,start_date,end_date,duration_days,num_detections,latitude,longitude,max_frp,avg_frp,total_frp,max_confidence,avg_confidence,year,month,day
165,2017-03-20,2017-03-20,1,1,39.5056,-121.1059,18.9,18.9,18.9,59,59.0,2017,3,20
166,2017-03-14,2017-03-17,4,2,39.6045,-122.125,34.0,20.15,40.3,74,65.0,2017,3,17
167,2017-03-02,2017-03-29,28,6,40.1179,-118.4386,72.4,28.48333333333333,170.89999999999998,96,79.33333333333333,2017,3,2
168,2017-03-14,2017-03-14,1,2,41.3261,-122.3025,11.6,10.75,21.5,54,52.0,2017,3,14
169,2017-03-13,2017-03-13,1,1,41.559,-117.8086,5.2,5.2,5.2,63,63.0,2017,3,13
170,2017-03-14,2017-03-16,3,3,41.8543,-121.5305,49.1,24.866666666666664,74.6,88,73.0,2017,3,14
171,2017-04-12,2017-04-26,15,7,32.5579,-114.6184,159.6,66.47142857142858,465.3,96,80.85714285714286,2017,4,12
172,2017-04-03,2017-04-03,1,2,32.735,-114.5628,35.7,24.75,49.5,66,65.5,2017,4,3
173,2017-04-10,2017-04-10,1,1,32.8909,-115.5707,29.6,29.6,29.6,77,77.0,2017,4,10
174,2017-04-03,2017-04-03,1,2,33.3549,-116.8456,72.7,54.0,108.0,87,73.5,2017,4,3
175,2017-04-13,2017-04-13,1,4,33.5713,-116.0613,56.6,47.575,190.3,89,80.25,2017,4,13
176,2017-04-30,2017-04-30,1,1,34.095,-117.3873,4.5,4.5,4.5,69,69.0,2017,4,30
177,2017-04-17,2017-04-17,1,2,34.1538,-116.9799,38.9,28.6,57.2,88,80.5,2017,4,17
178,2017-04-12,2017-04-12,1,1,34.269,-118.1473,13.2,13.2,13.2,61,61.0,2017,4,12
179,2017-04-03,2017-04-03,1,2,34.3082,-118.8708,7.3,7.05,14.1,58,55.5,2017,4,3
180,2017-04-11,2017-04-11,1,1,34.3112,-119.1035,45.3,45.3,45.3,84,84.0,2017,4,11
181,2017-04-03,2017-04-03,1,1,34.3934,-118.9427,16.6,16.6,16.6,74,74.0,2017,4,3
182,2017-04-03,2017-04-03,1,2,35.3605,-119.2106,23.1,19.25,38.5,71,64.5,2017,4,3
183,2017-04-12,2017-04-28,17,4,35.4725,-119.0924,22.2,15.8,63.2,83,68.0,2017,4,21
184,2017-04-03,2017-04-03,1,1,35.5258,-119.4388,9.3,9.3,9.3,53,53.0,2017,4,3
185,2017-04-04,2017-04-24,21,5,35.5775,-119.2465,61.4,37.94,189.7,86,65.2,2017,4,21
186,2017-04-03,2017-04-27,25,5,35.6534,-119.2936,37.9,26.679999999999996,133.39999999999998,82,69.8,2017,4,10
187,2017-04-21,2017-04-26,6,4,35.7703,-119.161,65.6,27.849999999999998,111.39999999999999,83,70.25,2017,4,22
188,2017-04-19,2017-04-22,4,4,35.9358,-119.154,27.9,19.049999999999997,76.19999999999999,84,73.75,2017,4,19
189,2017-04-01,2017-04-01,1,1,35.9668,-119.2777,22.8,22.8,22.8,70,70.0,2017,4,1
190,2017-04-11,2017-04-12,2,5,36.0706,-120.077,396.4,107.46,537.3,100,82.0,2017,4,11
191,2017-04-19,2017-04-19,1,1,36.138000000000005,-121.0453,9.4,9.4,9.4,75,75.0,2017,4,19
192,2017-04-28,2017-04-28,1,1,36.2137,-119.519,9.1,9.1,9.1,67,67.0,2017,4,28
193,2017-04-27,2017-04-28,2,5,36.2711,-119.6946,38.6,26.74,133.7,88,72.8,2017,4,28
194,2017-04-01,2017-04-01,1,2,36.2727,-119.2965,11.8,10.0,20.0,74,66.0,2017,4,1
195,2017-04-12,2017-04-28,17,8,36.3193,-119.1634,34.7,23.362500000000004,186.90000000000003,87,76.25,2017,4,19
196,2017-04-14,2017-04-20,7,5,36.3668,-120.297,94.5,30.54,152.7,99,75.0,2017,4,20
197,2017-04-28,2017-04-28,1,1,36.362,-121.2973,7.5,7.5,7.5,63,63.0,2017,4,28
198,2017-04-03,2017-04-28,26,3,36.4135,-119.2051,23.3,21.099999999999998,63.3,83,80.66666666666667,2017,4,28
199,2017-04-27,2017-04-28,2,4,36.4705,-119.8513,25.1,14.5,58.0,78,72.25,2017,4,27
200,2017-04-03,2017-04-11,9,4,36.4309,-119.6367,51.5,24.75,99.0,87,73.0,2017,4,11
201,2017-04-19,2017-04-19,1,1,36.5318,-119.4922,12.4,12.4,12.4,70,70.0,2017,4,19
