latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime,day,confidence_level,frp_category
41.003,-123.4616,2013-08-19,Aqua,MODIS,66.2,0,295.1,100,2013,8,2013-08-19,19,high,medium-high
41.0032,-123.4451,2013-08-18,Aqua,MODIS,43.8,0,288.4,91,2013,8,2013-08-18,18,high,medium-low
41.0033,-123.465,2013-08-15,Terra,MODIS,21.9,0,289.1,100,2013,8,2013-08-15,15,high,medium-low
41.0033,-123.4643,2013-08-17,Aqua,MODIS,42.4,0,300.9,90,2013,8,2013-08-17,17,high,medium-low
41.0036,-123.4796,2013-08-19,Aqua,MODIS,28.6,0,300.0,77,2013,8,2013-08-19,19,high,medium-low
41.0036,-123.4662,2013-08-16,Terra,MODIS,45.5,0,299.3,84,2013,8,2013-08-16,16,high,medium-low
41.0039,-123.4591,2013-08-17,Terra,MODIS,36.1,0,297.4,80,2013,8,2013-08-17,17,high,medium-low
41.0044,-123.4401,2013-08-21,Terra,MODIS,123.6,0,305.8,100,2013,8,2013-08-21,21,high,high
41.0044,-123.4398,2013-08-22,Terra,MODIS,310.2,0,305.0,100,2013,8,2013-08-22,22,high,high
41.0048,-123.4394,2013-08-21,Aqua,MODIS,160.2,0,300.8,96,2013,8,2013-08-21,21,high,high
41.0053,-123.4236,2013-08-21,Aqua,MODIS,65.9,0,272.8,95,2013,8,2013-08-21,21,high,medium-high
41.0055,-123.47,2013-08-13,Aqua,MODIS,115.9,0,303.7,99,2013,8,2013-08-13,13,high,medium-high
41.0056,-123.4673,2013-08-17,Terra,MODIS,106.9,0,289.4,100,2013,8,2013-08-17,17,high,medium-high
41.0058,-123.4873,2013-08-16,Aqua,MODIS,79.2,0,292.9,50,2013,8,2013-08-16,16,medium,medium-high
41.0058,-123.4648,2013-08-18,Terra,MODIS,64.3,0,300.3,71,2013,8,2013-08-18,18,high,medium-high
41.0059,-123.463,2013-08-14,Terra,MODIS,70.8,0,304.0,96,2013,8,2013-08-14,14,high,medium-high
41.0061,-123.4808,2013-08-20,Terra,MODIS,50.8,0,294.1,100,2013,8,2013-08-20,20,high,medium-high
41.0061,-123.4522,2013-08-21,Terra,MODIS,48.0,0,300.1,93,2013,8,2013-08-21,21,high,medium-high
41.0061,-123.4281,2013-08-22,Terra,MODIS,53.8,0,295.2,100,2013,8,2013-08-22,22,high,medium-high
41.0063,-123.4235,2013-08-20,Terra,MODIS,862.4,0,286.3,75,2013,8,2013-08-20,20,high,high
41.0064,-123.489,2013-08-22,Terra,MODIS,31.5,0,292.9,100,2013,8,2013-08-22,22,high,medium-low
41.0064,-123.4557,2013-08-19,Aqua,MODIS,44.2,0,293.3,100,2013,8,2013-08-19,19,high,medium-low
41.0067,-123.4609,2013-08-15,Aqua,MODIS,12.4,0,287.2,63,2013,8,2013-08-15,15,medium,low
41.0067,-123.458,2013-08-17,Aqua,MODIS,20.8,0,287.8,98,2013,8,2013-08-17,17,high,medium-low
41.0068,-123.4193,2013-08-21,Terra,MODIS,91.7,0,291.7,100,2013,8,2013-08-21,21,high,medium-high
41.0069,-123.4144,2013-08-21,Terra,MODIS,59.7,0,291.2,89,2013,8,2013-08-21,21,high,medium-high
41.0074,-123.4736,2013-08-15,Aqua,MODIS,132.6,0,306.8,100,2013,8,2013-08-15,15,high,high
41.0075,-123.4757,2013-08-14,Terra,MODIS,31.6,0,299.8,86,2013,8,2013-08-14,14,high,medium-low
41.0077,-123.4748,2013-08-13,Terra,MODIS,27.0,0,286.0,100,2013,8,2013-08-13,13,high,medium-low
41.0077,-123.4641,2013-08-18,Aqua,MODIS,108.7,0,290.0,100,2013,8,2013-08-18,18,high,medium-high
41.0079,-123.4718,2013-08-19,Aqua,MODIS,46.3,0,293.5,100,2013,8,2013-08-19,19,high,medium-low
41.008,-123.4683,2013-08-20,Terra,MODIS,726.1,0,292.3,87,2013,8,2013-08-20,20,high,high
41.0082,-123.4701,2013-08-17,Aqua,MODIS,21.8,0,287.2,100,2013,8,2013-08-17,17,high,medium-low
41.0088,-123.4705,2013-08-18,Aqua,MODIS,79.4,0,289.5,100,2013,8,2013-08-18,18,high,medium-high
41.0088,-123.4674,2013-08-14,Aqua,MODIS,391.9,0,300.4,100,2013,8,2013-08-14,14,high,high
41.0089,-123.4304,2013-08-21,Aqua,MODIS,81.8,0,269.4,100,2013,8,2013-08-21,21,high,medium-high
41.00899999999999,-123.4935,2013-08-14,Terra,MODIS,62.1,0,287.9,72,2013,8,2013-08-14,14,high,medium-high
41.0093,-123.4628,2013-08-13,Terra,MODIS,52.2,0,287.9,100,2013,8,2013-08-13,13,high,medium-high
41.0099,-123.4521,2013-08-13,Terra,MODIS,113.0,0,295.5,82,2013,8,2013-08-13,13,high,medium-high
41.01,-123.4142,2013-08-21,Terra,MODIS,7.7,0,302.5,66,2013,8,2013-08-21,21,medium,low
41.0111,-123.4876,2013-08-21,Terra,MODIS,48.7,0,303.4,93,2013,8,2013-08-21,21,high,medium-high
41.0111,-123.462,2013-08-15,Terra,MODIS,156.7,0,296.0,94,2013,8,2013-08-15,15,high,high
41.0114,-123.4683,2013-08-15,Terra,MODIS,144.5,0,295.8,92,2013,8,2013-08-15,15,high,high
41.0115,-123.4538,2013-08-22,Terra,MODIS,17.5,0,292.0,54,2013,8,2013-08-22,22,medium,low
41.0116,-123.486,2013-08-24,Aqua,MODIS,10.1,0,285.4,51,2013,8,2013-08-24,24,medium,low
41.0117,-123.4261,2013-08-21,Terra,MODIS,25.6,0,309.2,85,2013,8,2013-08-21,21,high,medium-low
41.0119,-123.458,2013-08-13,Aqua,MODIS,27.0,0,286.0,100,2013,8,2013-08-13,13,high,medium-low
41.0122,-123.4603,2013-08-21,Terra,MODIS,197.9,0,291.9,100,2013,8,2013-08-21,21,high,high
41.0123,-123.4672,2013-08-15,Terra,MODIS,32.3,0,289.2,100,2013,8,2013-08-15,15,high,medium-low
41.0123,-123.4557,2013-08-13,Terra,MODIS,95.3,0,295.4,79,2013,8,2013-08-13,13,high,medium-high
41.0124,-123.4283,2013-08-20,Terra,MODIS,86.3,0,286.6,100,2013,8,2013-08-20,20,high,medium-high
41.0126,-123.455,2013-08-21,Terra,MODIS,233.8,0,292.5,100,2013,8,2013-08-21,21,high,high
41.0132,-123.4812,2013-08-21,Terra,MODIS,160.9,0,282.9,72,2013,8,2013-08-21,21,high,high
41.0133,-123.4379,2013-08-21,Terra,MODIS,26.0,0,307.9,86,2013,8,2013-08-21,21,high,medium-low
41.0134,-123.4702,2013-08-16,Terra,MODIS,43.0,0,286.5,56,2013,8,2013-08-16,16,medium,medium-low
41.0136,-123.4484,2013-08-14,Terra,MODIS,10.2,0,298.5,53,2013,8,2013-08-14,14,medium,low
41.0139,-123.4154,2013-08-20,Terra,MODIS,98.2,0,284.8,100,2013,8,2013-08-20,20,high,medium-high
41.0142,-123.4554,2013-08-15,Terra,MODIS,22.6,0,290.6,68,2013,8,2013-08-15,15,medium,medium-low
